"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","Abandon the Post","mid","Near Mint","German","","","2023-10-01 10:02:06.313000","127","False","False","0.25"
"1","1","Abiding Grace","mh2","Near Mint","German","","","2023-10-01 10:02:06.313000","1","False","False","0.04"
"1","1","Abomination of Llanowar","khc","Near Mint","German","","","2023-10-01 10:02:06.313000","81","False","False","0.02"
"1","1","Abrade","vow","Near Mint","German","","","2023-10-01 10:02:06.313000","139","False","False","0.09"
"1","1","Abundance","znc","Near Mint","German","","","2023-10-01 10:02:06.313000","58","False","False","1.12"
"1","1","Abundant Growth","dmc","Near Mint","German","","","2023-10-01 10:02:06.313000","128","False","False","1.38"
"1","1","Abyssal Gorestalker","lci","Near Mint","English","","","2024-01-13 22:15:22.680000","87","False","False","0.10"
"1","1","Abzan Charm","dmc","Near Mint","German","","","2023-10-01 10:02:06.313000","138","False","False","0.11"
"1","1","Abzan Falconer","znc","Near Mint","German","","","2023-10-01 10:02:06.313000","9","False","False","0.02"
"1","1","Academy Loremaster","dmu","Near Mint","German","","","2023-10-01 10:02:06.313000","40","False","False","0.27"
"1","1","Academy Loremaster","pdmu","Near Mint","German","foil","","2023-10-01 10:02:06.313000","40s","False","False","0.45"
"1","1","Academy Wall","dmu","Near Mint","German","","","2023-10-01 10:02:06.313000","41","False","False","0.08"
"1","1","Accomplished Automaton","kld","Near Mint","German","","","2023-10-01 10:02:06.313000","191","False","False","0.02"
"1","1","Accursed Horde","hou","Near Mint","German","","","2023-10-01 10:02:06.313000","56","False","False","0.05"
"1","1","Acidic Slime","znc","Near Mint","German","","","2023-10-01 10:02:06.313000","59","False","False","0.13"
"2","2","Acolyte of Aclazotz","lci","Near Mint","English","","","2024-01-13 22:15:22.680000","89","False","False","0.07"
"1","1","Acrobatic Leap","lci","Near Mint","English","","","2024-01-13 22:15:22.680000","2","False","False","0.15"
"1","1","Acrobatic Maneuver","kld","Near Mint","German","","","2023-10-01 10:02:06.313000","1","False","False","0.12"
"1","1","Act of Heroism","hou","Near Mint","German","","","2023-10-01 10:02:06.313000","1","False","False","0.02"
"1","1","Act of Treason","rna","Near Mint","German","","","2023-10-01 10:02:06.313000","91","False","False","0.05"
"1","1","Adanto Vanguard","xln","Near Mint","German","","","2023-10-01 10:02:06.313000","1","False","False","0.29"
"1","1","Adeline, Resplendent Cathar","mid","Near Mint","German","","","2023-10-01 10:02:06.313000","1","False","False","0.29"
"1","1","Admiral Beckett Brass","xln","Near Mint","German","","","2023-10-01 10:02:06.313000","217","False","False","1.46"
"1","1","Admiral Beckett Brass","lcc","Near Mint","English","","","2023-12-24 22:14:40.263000","264","False","False",""
"1","1","Admiral Brass, Unsinkable","lcc","Near Mint","English","foil","","2023-12-24 22:14:40.263000","1","False","False",""
"1","1","Admiral Brass, Unsinkable","lcc","Near Mint","English","","","2024-01-13 22:15:22.680000","1","False","False","0.21"
"1","1","Admonition Angel","znc","Near Mint","German","","","2023-10-01 10:02:06.313000","10","False","False","0.67"
"1","1","Adriana, Captain of the Guard","dmc","Near Mint","German","","","2023-10-01 10:02:06.313000","139","False","False","0.13"
"1","1","Aegis Angel","w16","Near Mint","German","","","2023-10-01 10:02:06.313000","1","False","False","0.05"
"1","1","Aegis Automaton","aer","Near Mint","German","","","2023-10-01 10:02:06.313000","141","False","False","0.01"
"1","1","Aegis Turtle","iko","Near Mint","German","","","2023-10-01 10:02:06.313000","39","False","False","0.02"
"1","1","Aerial Boost","mom","Near Mint","English","","","2023-10-01 10:02:06.313000","2","False","False","0.02"
"2","2","Aerial Modification","aer","Near Mint","German","","","2023-10-01 10:02:06.313000","1","False","False","0.12"
"5","5","Aerial Responder","kld","Near Mint","German","","","2023-10-01 10:02:06.313000","2","False","False","0.19"
"2","2","Aeromoeba","mh2","Near Mint","German","","","2023-10-01 10:02:06.313000","37","False","False","0.10"
"1","1","Aeromoeba","mh2","Near Mint","German","","","2023-10-01 10:02:06.313000","389","False","False","0.40"
"1","1","Aeromunculus","rna","Near Mint","German","","","2023-10-01 10:02:06.313000","152","False","False","0.10"
"2","2","Aeronaut Admiral","aer","Near Mint","German","","","2023-10-01 10:02:06.313000","2","False","False","0.13"
"1","1","Aeronaut Cavalry","bro","Near Mint","German","","","2023-10-01 10:02:06.313000","1","False","False","0.09"
"1","1","Aesi, Tyrant of Gyre Strait","cmr","Near Mint","German","foil","","2023-10-01 10:02:06.313000","365","False","False","13.25"
"4","4","Aether Chaser","aer","Near Mint","German","","","2023-10-01 10:02:06.313000","76","False","False","0.56"
"3","3","Aether Herder","aer","Near Mint","German","","","2023-10-01 10:02:06.313000","102","False","False","0.05"
"1","1","Aether Meltdown","kld","Near Mint","German","","","2023-10-01 10:02:06.313000","36","False","False","0.02"
"3","3","Aether Poisoner","aer","Near Mint","German","","","2023-10-01 10:02:06.313000","51","False","False","0.08"
"2","2","Aether Swooper","aer","Near Mint","German","","","2023-10-01 10:02:06.313000","26","False","False","0.12"
"2","2","Aether Theorist","kld","Near Mint","German","","","2023-10-01 10:02:06.313000","37","False","False","0.09"
"1","1","Aether Tradewinds","kld","Near Mint","German","","","2023-10-01 10:02:06.313000","38","False","False","0.05"
"1","1","Aetherblade Agent // Gitaxian Mindstinger","mom","Near Mint","English","","","2023-10-01 10:02:06.313000","88","False","False","0.04"
"1","1","Aetherborn Marauder","kld","Near Mint","German","","","2023-10-01 10:02:06.313000","71","False","False","0.15"
