"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","Abrade","vow","Near Mint","English","","","2023-10-30 08:51:34.030000","139","False","False",""
"1","1","Abundant Harvest","mh2","Near Mint","English","","","2023-10-29 13:21:10.073000","354","False","False",""
"1","1","Aether Chaser","aer","Near Mint","English","","","2023-10-30 08:34:10.677000","76","False","False",""
"1","1","Aethersnipe","uma","Near Mint","English","","","2023-11-08 20:10:02.740000","44","False","False",""
"1","1","Ainok Bond-Kin","ima","Near Mint","English","","","2023-11-06 11:50:43.843000","4","False","False",""
"1","1","Alabaster Host Intercessor","mom","Near Mint","English","","","2023-11-06 10:53:45.240000","3","False","False",""
"1","1","Ambitious Assault","neo","Near Mint","English","","","2023-10-30 08:52:37.173000","133","False","False",""
"1","1","Ancestral Blade","m20","Near Mint","English","","","2023-11-06 11:55:28.897000","3","False","False",""
"1","1","Angelic Intervention","mom","Near Mint","English","","","2023-11-06 10:54:01.413000","5","False","False",""
"1","1","Annoyed Altisaur","cmr","Near Mint","English","","","2023-10-29 13:12:49.893000","216","False","False",""
"1","1","Archaeomancer","m14","Near Mint","English","","","2023-10-17 13:12:47.320000","43","False","False",""
"1","1","Ardent Elementalist","mid","Near Mint","English","","","2023-10-30 08:50:23.500000","128","False","False",""
"1","1","Ardenvale Tactician // Dizzying Swoop","eld","Near Mint","English","","","2023-11-06 11:56:50.143000","5","False","False",""
"1","1","Armadillo Cloak","inv","Near Mint","English","","","2023-11-08 19:41:47.657000","229","False","False",""
"1","1","Arms of Hadar","clb","Near Mint","English","","","2023-11-02 12:21:35.203000","113","False","False",""
"1","1","Ash Barrens","cmm","Near Mint","English","","","2023-10-29 13:00:26.413000","419","False","False",""
"1","1","Ashes to Ashes","4bb","Near Mint","English","","","2023-11-08 19:42:56.190000","119","False","False",""
"1","1","Attended Knight","mm3","Near Mint","English","","","2023-10-17 13:10:33.940000","1","False","False",""
"1","1","Augury Raven","khm","Near Mint","English","","","2023-11-06 12:02:45.803000","44","False","False",""
"1","1","Azorius Chancery","c18","Near Mint","English","","","2023-10-29 13:39:32.343000","233","False","False",""
"1","1","Bannerhide Krushok","mh2","Near Mint","English","","","2023-10-30 08:48:23.190000","149","False","False",""
"1","1","Barbed Batterfist","one","Near Mint","English","","","2023-10-30 09:01:50.997000","121","False","False",""
"1","1","Basilica Screecher","gtc","Near Mint","English","","","2023-11-06 11:07:57.270000","58","False","False",""
"1","1","Basilisk Gate","clb","Near Mint","English","","","2023-11-02 12:22:42.180000","346","False","False",""
"1","1","Basri's Acolyte","m21","Near Mint","English","","","2023-11-06 11:58:53.050000","8","False","False",""
"1","1","Battle Screech","onc","Near Mint","English","","","2023-11-06 10:53:28.083000","59","False","False",""
"1","1","Bayou Groff","stx","Near Mint","English","","","2023-10-30 08:47:09.947000","121","False","False",""
"1","1","Beetleback Chief","ddn","Near Mint","English","","","2023-10-30 09:06:54.337000","14","False","False",""
"1","1","Behold the Multiverse","khm","Near Mint","English","","","2023-11-06 12:03:02.860000","46","False","False",""
"1","1","Bind the Monster","khm","Near Mint","English","","","2023-11-06 10:58:21.673000","48","False","False",""
"1","1","Black Dragon Gate","clb","Near Mint","English","","","2023-11-02 12:23:11.687000","347","False","False",""
"1","1","Blessed Hippogriff // Tyr's Blessing","clb","Near Mint","English","","","2023-11-06 11:06:48.017000","11","False","False",""
"1","1","Blood Fountain","vow","Near Mint","German","","","2023-11-06 21:10:03.110000","95","False","False","0.15"
"1","1","Bloodwater Entity","2x2","Near Mint","English","","","2023-10-29 12:48:52.190000","185","False","False",""
"1","1","Bloom Hulk","war","Near Mint","English","","","2023-10-30 08:40:12.477000","154","False","False",""
"1","1","Body Dropper","snc","Near Mint","English","","","2023-10-29 13:24:09.803000","168","False","False",""
"1","1","Bogardan Dragonheart","mh1","Near Mint","English","","","2023-10-30 08:41:40.213000","120","False","False",""
"1","1","Bonder's Ornament","c20","Near Mint","English","","","2023-11-08 20:10:39.823000","67","False","False",""
"1","1","Bone Picker","2xm","Near Mint","English","","","2023-11-08 20:11:00.510000","78","False","False",""
