Card,Set ID,Set Name,Quantity,Foil
"Forest",DOM,"",1,""
"Island",DOM,"",1,""
"Mountain",DOM,"",1,""
"Plains",DOM,"",1,""
"Swamp",DOM,"",1,""
"Blink of an Eye",DOM,"",2,""
"Clifftop Retreat",DOM,"",1,""
"Danitha Capashen, Paragon",DOM,"",1,""
"Deathbloom Thallid",DOM,"",4,""
"Demonlord Belzenlok",DOM,"",1,""
"Divination",DOM,"",1,""
"Fight with Fire",DOM,"",2,""
"Fungal Infection",DOM,"",3,""
"Ghitu Lavarunner",DOM,"",3,""
"Hinterland Harbor",DOM,"",1,""
"History of Benalia",DOM,"",1,""
"Isolated Chapel",DOM,"",1,""
"Llanowar Elves",DOM,"",2,""
"On Serra's Wings",DOM,"",1,""
"Pegasus Courser",DOM,"",2,""
"Pyromantic Pilgrim",DOM,"",3,""
"Rite of Belzenlok",DOM,"",1,""
"Saproling Migration",DOM,"",3,""
"Seal Away",DOM,"",3,""
"Serra Angel",DOM,"",4,""
"Shalai, Voice of Plenty",DOM,"",1,""
"Shivan Fire",DOM,"",3,""
"Siege-Gang Commander",DOM,"",2,""
"Slimefoot, the Stowaway",DOM,"",1,""
"Spore Swarm",DOM,"",2,""
"Sulfur Falls",DOM,"",1,""
"Tempest Djinn",DOM,"",1,""
"Thallid Omnivore",DOM,"",2,""
"Torgaar, Famine Incarnate",DOM,"",1,""
"Verdant Force",DOM,"",1,""
"Vicious Offering",DOM,"",3,""
"Vodalian Arcanist",DOM,"",3,""
"Whisper, Blood Liturgist",DOM,"",1,""
"Woodland Cemetery",DOM,"",1,""
"Yargle, Glutton of Urborg",DOM,"",1,""
"Yavimaya Sapherd",DOM,"",3,""
"Zahid, Djinn of the Lamp",DOM,"",1,""
"Azor, the Lawbringer",RIX,"",1,""
"Champion of Dusk",RIX,"",1,""
"Charging Tuskodon",RIX,"",2,""
"Deadeye Rig-Hauler",RIX,"",2,""
"Deeproot Elite",RIX,"",1,""
"Dire Fleet Poisoner",RIX,"",1,""
"Etali, Primal Storm",RIX,"",1,""
"Fathom Fleet Boarder",RIX,"",2,""
"Flood of Recollection",RIX,"",1,""
"Ghalta, Primal Hunger",RIX,"",1,""
"Grasping Scoundrel",RIX,"",3,""
"Jade Bearer",RIX,"",3,""
"Jadelight Ranger",RIX,"",1,""
"Jungleborn Pioneer",RIX,"",2,""
"Kitesail Corsair",RIX,"",4,""
"Knight of the Stampede",RIX,"",2,""
"Kumena, Tyrant of Orazca",RIX,"",1,""
"Legion Lieutenant",RIX,"",2,""
"Luminous Bonds",RIX,"",4,""
"Martyr of Dusk",RIX,"",2,""
"Merfolk Mistbinder",RIX,"",3,""
"Moment of Triumph",RIX,"",2,""
"Needletooth Raptor",RIX,"",1,""
"Negate",RIX,"",2,""
"Nezahal, Primal Tide",RIX,"",1,""
"Paladin of Atonement",RIX,"",1,""
"Path of Discovery",RIX,"",1,""
"Plummet",RIX,"",2,""
"Ravenous Chupacabra",RIX,"",2,""
"Rekindling Phoenix",RIX,"",1,""
"Seafloor Oracle",RIX,"",1,""
"Siegehorn Ceratops",RIX,"",1,""
"Silverclad Ferocidons",RIX,"",1,""
"Silvergill Adept",RIX,"",3,""
"Siren Reaver",RIX,"",2,""
"Swab Goblin",RIX,"",2,""
"Tendershoot Dryad",RIX,"",1,""
"Twilight Prophet",RIX,"",1,""
"Warkite Marauder",RIX,"",1,""
"Waterknot",RIX,"",3,""
"Zetalpa, Primal Dawn",RIX,"",1,""
"Settle the Wreckage",XLN,"",1,""
"Siren Stormtamer",XLN,"",3,""
"Skulduggery",XLN,"",2,""
"Skymarch Bloodletter",XLN,"",4,""
"Sunpetal Grove",XLN,"",1,""
"Tempest Caller",XLN,"",2,""
"Territorial Hammerskull",XLN,"",2,""
"Verdant Rebirth",XLN,"",1,""
"Vraska's Contempt",XLN,"",1,""
"Watertrap Weaver",XLN,"",3,""
"Herald of Secret Streams",XLN,"",1,""
"Hostage Taker",XLN,"",1,""
"Imperial Aerosaur",XLN,"",2,""
"Inspiring Cleric",XLN,"",2,""
"Kinjalli's Sunwing",XLN,"",1,""
"Kitesail Freebooter",XLN,"",2,""
