Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU
1,Abandon Hope,Abandon Hope,Tempest,107,TMP,Normal,Near Mint,English,Uncommon,5451,18962
1,Abbey Matron [Version 2],Abbey Matron,Homelands,2b,HML,Normal,Near Mint,English,Common,18266,116448
1,Abduction,Abduction,Weatherlight,30,WTH,Normal,Near Mint,English,Uncommon,5968,19464
1,Abeyance,Abeyance,Weatherlight,1,WTH,Normal,Near Mint,English,Rare,5969,19465
3,Abjure,Abjure,Weatherlight,31,WTH,Normal,Near Mint,English,Common,5970,19466
4,About Face,About Face,Urza's Legacy,73,ULG,Normal,Near Mint,English,Common,6278,19774
1,About Face,About Face,Urza's Legacy,73,ULG,Foil,Near Mint,English,Common,6278,43578
1,Absolute Grace,Absolute Grace,Urza's Saga,1,USG,Normal,Near Mint,English,Uncommon,6771,20252
2,Absolute Law,Absolute Law,Urza's Saga,2,USG,Normal,Near Mint,English,Uncommon,6772,20253
4,Abyssal Gatekeeper,Abyssal Gatekeeper,Weatherlight,59,WTH,Normal,Near Mint,English,Common,5972,19468
1,Academy Researchers,Academy Researchers,Urza's Saga,58,USG,Normal,Near Mint,English,Uncommon,6775,20256
4,Acridian,Acridian,Urza's Saga,230,USG,Normal,Near Mint,English,Common,6777,20258
1,Adarkar Sentinel,Adarkar Sentinel,Ice Age,306,ICE,Normal,Near Mint,English,Uncommon,4576,18448
1,Adarkar Unicorn,Adarkar Unicorn,Ice Age,1,ICE,Normal,Near Mint,English,Common,4577,18449
4,Advance Scout,Advance Scout,Tempest,1,TMP,Normal,Near Mint,English,Common,5452,18963
1,Aether Storm,Aether Storm,Fifth Edition,70,5ED,Normal,Near Mint,English,Uncommon,2459,16565
4,Aether Tide,Aether Tide,Exodus,27,EXO,Normal,Near Mint,English,Common,4434,18331
4,Aftershock,Aftershock,Tempest,160,TMP,Normal,Near Mint,English,Common,5453,18964
2,Aggression,Aggression,Ice Age,169,ICE,Normal,Near Mint,English,Uncommon,4580,18452
1,Agonizing Demise,Agonizing Demise,Invasion,92,INV,Normal,Near Mint,English,Common,7410,20876
1,Air Elemental,Air Elemental,Summer Magic,47,SUM,Normal,Near Mint,English,Uncommon,211832,4362269
4,Alabaster Potion,Alabaster Potion,Fourth Edition,1,4ED,Normal,Near Mint,English,Common,1635,15766
1,Alaborn Trooper,Alaborn Trooper,Portal Second Age,4,P02,Normal,Near Mint,English,Common,91,14607
1,Albino Troll,Albino Troll,Duel Decks: Anthology,3,DD3,Normal,Near Mint,English,Uncommon,93695,1266841
1,Ali Baba,Ali Baba,Fourth Edition,175,4ED,Normal,Near Mint,English,Uncommon,1638,15769
4,Allay,Allay,Exodus,1,EXO,Normal,Near Mint,English,Common,4292,18189
2,Allied Strategies,Allied Strategies,Planeshift,20,PLS,Normal,Near Mint,English,Uncommon,7762,21208
1,Alms,Alms,Weatherlight,3,WTH,Normal,Near Mint,English,Common,5975,19471
1,Aluren,Aluren,Tempest,213,TMP,Normal,Near Mint,English,Rare,5455,18966
1,Ambush,Ambush,Homelands,62,HML,Normal,Near Mint,English,Common,4440,18335
3,Amrou Kithkin,Amrou Kithkin,Fourth Edition,2,4ED,Normal,Near Mint,English,Common,1639,15770
3,Amulet of Kroog,Amulet of Kroog,Fifth Edition,347,5ED,Normal,Near Mint,English,Common,2019,16140
1,Ana Disciple,Ana Disciple,Apocalypse,73,APC,Normal,Near Mint,English,Common,7908,21351
1,Anaba Bodyguard,Anaba Bodyguard,Classic Sixth Edition,164,6ED,Normal,Near Mint,English,Common,2468,16574
2,Anaconda,Anaconda,Urza's Saga,232,USG,Normal,Near Mint,English,Uncommon,6779,20260
4,Anarchist,Anarchist,Exodus,79,EXO,Normal,Near Mint,English,Common,4293,18190
1,Ancestral Mask,Ancestral Mask,Mercadian Masques,229,MMQ,Normal,Near Mint,English,Common,6425,19921
1,Ancient Silverback,Ancient Silverback,7th Edition,230,7ED,Normal,Near Mint,English,Rare,2818,16909
2,Ancient Tomb,Ancient Tomb,Tempest,315,TMP,Normal,Near Mint,English,Uncommon,5457,18968
4,Angelic Blessing,Angelic Blessing,Starter 1999,3,S99,Normal,Near Mint,English,Common,257,14763
2,Angelic Chorus,Angelic Chorus,Urza's Saga,3,USG,Normal,Near Mint,English,Rare,6780,20261
4,Angelic Curator,Angelic Curator,Urza's Legacy,1,ULG,Normal,Near Mint,English,Common,6279,19775
4,Angelic Page,Angelic Page,Urza's Saga,4,USG,Normal,Near Mint,English,Common,6781,20262
3,Angelic Protector,Angelic Protector,Tempest,2,TMP,Normal,Near Mint,English,Uncommon,5458,18969
2,Angelic Renewal,Angelic Renewal,Weatherlight,4,WTH,Normal,Near Mint,English,Common,5977,19473
1,Angelic Shield,Angelic Shield,Invasion,228,INV,Normal,Near Mint,English,Uncommon,7417,20883
1,Angel's Trumpet,Angel's Trumpet,Urza's Legacy,121,ULG,Normal,Near Mint,English,Uncommon,6280,19776
2,Angry Mob,Angry Mob,Fifth Edition,4,5ED,Normal,Near Mint,English,Uncommon,2021,16142
1,An-Havva Inn,An-Havva Inn,Homelands,82,HML,Normal,Near Mint,English,Uncommon,4444,18338
1,Animate Artifact,Animate Artifact,Fourth Edition,60,4ED,Normal,Near Mint,English,Uncommon,1642,15773
2,Animate Dead,Animate Dead,Fourth Edition,118,4ED,Normal,Near Mint,English,Uncommon,1643,15774
1,Animate Wall,Animate Wall,Fourth Edition,4,4ED,Normal,Near Mint,English,Rare,1644,15775
1,Annihilate,Annihilate,Invasion,94,INV,Normal,Near Mint,English,Uncommon,7418,20884
4,Annul,Annul,Urza's Saga,59,USG,Normal,Near Mint,English,Common,6782,20263
