Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU
1,Abuelo's Awakening,Abuelo's Awakening,The Lost Caverns of Ixalan,1,LCI,Normal,Near Mint,English,Rare,526193,7543277
1,Abyssal Gorestalker,Abyssal Gorestalker,The Lost Caverns of Ixalan,87,LCI,Normal,Near Mint,English,Uncommon,525126,7515754
1,Abzan Charm,Abzan Charm,The List Reprints,C16-177,LIST,Normal,Near Mint,English,Uncommon,203116,4267948
1,Accursed Marauder,Accursed Marauder,Modern Horizons 3,80,MH3,Normal,Near Mint,English,Common,553204,7958359
1,Accursed Marauder (Retro Frame),Accursed Marauder,Modern Horizons 3,405,MH3,Normal,Near Mint,English,Common,553206,7958459
1,Acrobatic Leap,Acrobatic Leap,The Lost Caverns of Ixalan,2,LCI,Normal,Near Mint,English,Common,526360,7551772
1,Adaptive Gemguard,Adaptive Gemguard,The Lost Caverns of Ixalan,3,LCI,Normal,Near Mint,English,Common,526340,7550382
1,Aerie Auxiliary,Aerie Auxiliary,Modern Horizons 3,18,MH3,Normal,Near Mint,English,Common,553121,7955169
1,Aeromoeba (Retro Frame),Aeromoeba,Modern Horizons 2,389,MH2,Normal,Near Mint,English,Common,239952,4976813
1,Aether Revolt,Aether Revolt,Modern Horizons 3,113,MH3,Normal,Near Mint,English,Rare,552869,7949585
1,Aetherblade Agent,Aetherblade Agent,March of the Machine,88,MOM,Normal,Near Mint,English,Common,492066,7100163
1,Against All Odds,Against All Odds,Phyrexia: All Will Be One,1,ONE,Normal,Near Mint,English,Uncommon,479098,6951924
1,Agate Assault,Agate Assault,Bloomburrow,122,BLB,Normal,Near Mint,English,Common,559491,8042509
1,Agatha's Champion,Agatha's Champion,Wilds of Eldraine,160,WOE,Normal,Near Mint,English,Uncommon,512634,7369235
1,Ajani's Last Stand,Ajani's Last Stand,The List Reprints,M19-4,LIST,Normal,Near Mint,English,Rare,284305,5789145
1,"Akawalli, the Seething Tower","Akawalli, the Seething Tower",The Lost Caverns of Ixalan,220,LCI,Normal,Near Mint,English,Uncommon,525258,7521685
1,"Alania, Divergent Storm","Alania, Divergent Storm",Bloomburrow,204,BLB,Normal,Near Mint,English,Rare,558439,8027751
1,Amped Raptor,Amped Raptor,Modern Horizons 3,114,MH3,Normal,Near Mint,English,Uncommon,552664,7940847
1,Amphibian Downpour,Amphibian Downpour,Modern Horizons 3,51,MH3,Normal,Near Mint,English,Rare,552794,7944598
1,Ancestors' Aid,Ancestors' Aid,The Lost Caverns of Ixalan,132,LCI,Normal,Near Mint,English,Common,526356,7551522
