Count,Tradelist Count,Name,Edition,Edition Code,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,Printing Id,Printing Note,Tags,My Price,Cost,Rarity,Price,TcgPlayer ID,Scryfall ID
1,,Ambitious Farmhand // Seasoned Cathar,Innistrad: Midnight Hunt,MID,2,Mint,English,,,,,,,,,,,,,,,,54d4e7c3-294d-4900-8b70-faafda17cc33
1,,Ambitious Farmhand // Seasoned Cathar,Innistrad: Midnight Hunt,MID,2,Mint,Traditional Chinese,,,,,,,,,,,,,,,,54d4e7c3-294d-4900-8b70-faafda17cc33
2,,Ambitious Farmhand // Seasoned Cathar,Innistrad: Midnight Hunt,MID,2,Near Mint,German,foil,,,,,,,,,,$0.20,,,,,54d4e7c3-294d-4900-8b70-faafda17cc33
1,,Ambitious Farmhand // Seasoned Cathar,Innistrad: Midnight Hunt,MID,2,Good (Lightly Played),English,,,,,,,,,,,,,,,,54d4e7c3-294d-4900-8b70-faafda17cc33
1,,Ambitious Farmhand // Seasoned Cathar,Innistrad: Midnight Hunt,MID,2,Played,English,,,,,,,,,,,,,,,,54d4e7c3-294d-4900-8b70-faafda17cc33
1,,Ambitious Farmhand // Seasoned Cathar,Innistrad: Midnight Hunt,MID,2,Heavily Played,English,,,,,,,,,,,,,,,,54d4e7c3-294d-4900-8b70-faafda17cc33
1,,Ambitious Farmhand // Seasoned Cathar,Innistrad: Midnight Hunt,MID,2,Poor,English,,,,,,,,,,,,,,,,54d4e7c3-294d-4900-8b70-faafda17cc33
1,,Clue,Extras: Modern Horizons 2,TMH2,14,Near Mint,English,,,,,,,,,,,$0.15,,,,,cfcf6efe-9f94-4a55-9994-701e596691ad
1,,Food,Extras: The Lord of the Rings: Tales of Middle-earth,TLTR,10,Near Mint,English,,,,,,,,,,,$0.11,,,,,bfcff41e-b6ff-4ddd-bcb6-8943f7d88aef
1,,Demonic Tutor,Commander Masters,CMM,509,Near Mint,English,foil,,,,,,,,,,,,,,,89153e75-2333-42e8-bc28-1b3d1e4726dd
1,,Lightning Bolt,Magic 2011,M11,149,Near Mint,English,,,,,,,,,,,,,,,,e768c957-3a1f-42f5-853a-96942f645df5
1,,Lightning Bolt,Magic 2011,M11,149,Near Mint,Spanish,,,,,,,,,,,,,,,,e768c957-3a1f-42f5-853a-96942f645df5
1,,Lightning Bolt,Magic 2011,M11,149,Near Mint,French,,,,,,,,,,,,,,,,e768c957-3a1f-42f5-853a-96942f645df5
1,,Lightning Bolt,Magic 2011,M11,149,Near Mint,German,,,,,,,,,,,,,,,,e768c957-3a1f-42f5-853a-96942f645df5
1,,Lightning Bolt,Magic 2011,M11,149,Near Mint,Italian,,,,,,,,,,,,,,,,e768c957-3a1f-42f5-853a-96942f645df5
1,,Lightning Bolt,Magic 2011,M11,149,Near Mint,Portuguese,,,,,,,,,,,,,,,,e768c957-3a1f-42f5-853a-96942f645df5
1,,Lightning Bolt,Magic 2011,M11,149,Near Mint,Japanese,,,,,,,,,,,,,,,,e768c957-3a1f-42f5-853a-96942f645df5
1,,Lightning Bolt,Magic 2011,M11,149,Near Mint,Korean,,,,,,,,,,,,,,,,e768c957-3a1f-42f5-853a-96942f645df5
1,,Lightning Bolt,Magic 2011,M11,149,Near Mint,Russian,,,,,,,,,,,,,,,,e768c957-3a1f-42f5-853a-96942f645df5
1,,Lightning Bolt,Magic 2011,M11,149,Near Mint,Chinese,,,,,,,,,,,,,,,,e768c957-3a1f-42f5-853a-96942f645df5
1,,Lightning Bolt,Magic 2011,M11,149,Near Mint,Traditional Chinese,,,,,,,,,,,,,,,,e768c957-3a1f-42f5-853a-96942f645df5
1,,Mardu Outrider,Mystery Booster 2,MB2,1,Near Mint,English,,,,,,,,,,,,,,,,3d78478d-5bdb-4c29-aa3a-9de18a5fcd52
1,,Viscera Seer,Secret Lair Drop Series,SLD,VS,Near Mint,English,foil,,,,,,,,,,,,,,,dba1cf83-e13d-401e-b76f-b12a51b307f9
1,,"Isperia, Supreme Judge",Ravnica Allegiance Guild Kit,GK2,1,Near Mint,English,foil,,,,,,,,,,,,,,,ff875d47-b46e-481e-8fba-cc90870483e0
1,,Ral's Vanguard,Mystery Booster Playtest Cards,CMB1,1,Near Mint,English,,,,,,,,,,,,,,,,c2cb33ac-30d3-4f89-957f-9caea3cb4f16
1,,Demonic Tutor,The List,PLST,DDC-49,Near Mint,English,,,,,,,,,,,,,,,,77be13ed-5ef5-4452-a16f-ccd3599d8555
1,,Orcish Bowmasters,The Lord of the Rings: Tales of Middle-earth,LTR,433,Near Mint,English,,,,,,,,,,,,,,,,de2de055-5246-408b-80fe-cd01688c145e
1,,Brazen Borrower // Petty Theft,Throne of Eldraine,ELD,39,Near Mint,English,,,,,,,,,,,,,,,,c2089ec9-0665-448f-bfe9-d181de127814
1,,Fire // Ice,Apocalypse,APC,128,Near Mint,English,,,,,,,,,,,,,,,,f98f4538-5b5b-475d-b98f-49d01dae6f04
