Folder Name,Quantity,Trade Quantity,Card Name,Set Code,Set Name,Card Number,Condition,Printing,Language,Price Bought,Date Bought,LOW,MID,MARKET
Imported,1,0,Ambitious Farmhand,MID,Innistrad: Midnight Hunt,2,Mint,Normal,English,0,2024-01-01,,,
Imported,1,0,Ambitious Farmhand,MID,Innistrad: Midnight Hunt,2,Mint,Normal,Traditional Chinese,0,2024-01-01,,,
Imported,2,0,Ambitious Farmhand,MID,Innistrad: Midnight Hunt,2,NearMint,Foil,German,0.20,2024-01-01,,,
Imported,1,0,Ambitious Farmhand,MID,Innistrad: Midnight Hunt,2,Good,Normal,English,0,2024-01-01,,,
Imported,1,0,Ambitious Farmhand,MID,Innistrad: Midnight Hunt,2,LightPlayed,Normal,English,0,2024-01-01,,,
Imported,1,0,Ambitious Farmhand,MID,Innistrad: Midnight Hunt,2,Played,Normal,English,0,2024-01-01,,,
Imported,1,0,Ambitious Farmhand,MID,Innistrad: Midnight Hunt,2,Poor,Normal,English,0,2024-01-01,,,
Imported,1,0,Clue Token,TMH2,Modern Horizons 2 Tokens,14,NearMint,Normal,English,0.15,2024-01-01,,,
Imported,1,0,Food Token,TLTR,Tales of Middle-earth Tokens,10,NearMint,Normal,English,0.11,2024-01-01,,,
Imported,1,0,Demonic Tutor,CMM,Commander Masters,509,NearMint,Foil,English,0,2024-01-01,,,
Imported,1,0,Lightning Bolt,M11,Magic 2011,149,NearMint,Normal,English,0,2024-01-01,,,
Imported,1,0,Lightning Bolt,M11,Magic 2011,149,NearMint,Normal,Spanish,0,2024-01-01,,,
Imported,1,0,Lightning Bolt,M11,Magic 2011,149,NearMint,Normal,French,0,2024-01-01,,,
Imported,1,0,Lightning Bolt,M11,Magic 2011,149,NearMint,Normal,German,0,2024-01-01,,,
Imported,1,0,Lightning Bolt,M11,Magic 2011,149,NearMint,Normal,Italian,0,2024-01-01,,,
Imported,1,0,Lightning Bolt,M11,Magic 2011,149,NearMint,Normal,Portuguese,0,2024-01-01,,,
Imported,1,0,Lightning Bolt,M11,Magic 2011,149,NearMint,Normal,Japanese,0,2024-01-01,,,
Imported,1,0,Lightning Bolt,M11,Magic 2011,149,NearMint,Normal,Korean,0,2024-01-01,,,
Imported,1,0,Lightning Bolt,M11,Magic 2011,149,NearMint,Normal,Russian,0,2024-01-01,,,
Imported,1,0,Lightning Bolt,M11,Magic 2011,149,NearMint,Normal,Simplified Chinese,0,2024-01-01,,,
Imported,1,0,Lightning Bolt,M11,Magic 2011,149,NearMint,Normal,Traditional Chinese,0,2024-01-01,,,
Imported,1,0,Mardu Outrider,MB2,Mystery Booster 2,1,NearMint,Normal,English,0,2024-01-01,,,
Imported,1,0,Viscera Seer,SLD,Secret Lair Drop,VS,NearMint,Foil,English,0,2024-01-01,,,
Imported,1,0,"Isperia, Supreme Judge",GK2,Guild Kit: Azorius,1,NearMint,Foil,English,0,2024-01-01,,,
Imported,1,0,Ral's Vanguard,CMB1,Mystery Booster Playtest Cards 2019,1,NearMint,Normal,English,0,2024-01-01,,,
Imported,1,0,Demonic Tutor,PLST,The List,DDC-49,NearMint,Normal,English,0,2024-01-01,,,
Imported,1,0,Orcish Bowmasters,LTR,The Lord of the Rings: Tales of Middle-earth,433,NearMint,Normal,English,0,2024-01-01,,,
Imported,1,0,Brazen Borrower,ELD,Throne of Eldraine,39,NearMint,Normal,English,0,2024-01-01,,,
Imported,1,0,Fire // Ice,APC,Apocalypse,128,NearMint,Normal,English,0,2024-01-01,,,
