Card,Set ID,Set Name,Quantity,Foil,Variation,Collector Number,Scryfall ID
Ambitious Farmhand,MID,Innistrad: Midnight Hunt,1,regular,,2,54d4e7c3-294d-4900-8b70-faafda17cc33
Ambitious Farmhand,MID,Innistrad: Midnight Hunt,1,regular,,2,54d4e7c3-294d-4900-8b70-faafda17cc33
Ambitious Farmhand,MID,Innistrad: Midnight Hunt,2,foil,,2,54d4e7c3-294d-4900-8b70-faafda17cc33
Ambitious Farmhand,MID,Innistrad: Midnight Hunt,1,regular,,2,54d4e7c3-294d-4900-8b70-faafda17cc33
Ambitious Farmhand,MID,Innistrad: Midnight Hunt,1,regular,,2,54d4e7c3-294d-4900-8b70-faafda17cc33
Ambitious Farmhand,MID,Innistrad: Midnight Hunt,1,regular,,2,54d4e7c3-294d-4900-8b70-faafda17cc33
Ambitious Farmhand,MID,Innistrad: Midnight Hunt,1,regular,,2,54d4e7c3-294d-4900-8b70-faafda17cc33
Clue,TMH2,Modern Horizons 2 Tokens,1,regular,,14,cfcf6efe-9f94-4a55-9994-701e596691ad
Food,TLTR,Tales of Middle-earth Tokens,1,regular,,10,bfcff41e-b6ff-4ddd-bcb6-8943f7d88aef
Demonic Tutor,CMM,Commander Masters,1,foil_etched,,509,89153e75-2333-42e8-bc28-1b3d1e4726dd
Lightning Bolt,M11,Magic 2011,1,regular,,149,e768c957-3a1f-42f5-853a-96942f645df5
Lightning Bolt,M11,Magic 2011,1,regular,,149,e768c957-3a1f-42f5-853a-96942f645df5
Lightning Bolt,M11,Magic 2011,1,regular,,149,e768c957-3a1f-42f5-853a-96942f645df5
Lightning Bolt,M11,Magic 2011,1,regular,,149,e768c957-3a1f-42f5-853a-96942f645df5
Lightning Bolt,M11,Magic 2011,1,regular,,149,e768c957-3a1f-42f5-853a-96942f645df5
Lightning Bolt,M11,Magic 2011,1,regular,,149,e768c957-3a1f-42f5-853a-96942f645df5
Lightning Bolt,M11,Magic 2011,1,regular,,149,e768c957-3a1f-42f5-853a-96942f645df5
Lightning Bolt,M11,Magic 2011,1,regular,,149,e768c957-3a1f-42f5-853a-96942f645df5
Lightning Bolt,M11,Magic 2011,1,regular,,149,e768c957-3a1f-42f5-853a-96942f645df5
Lightning Bolt,M11,Magic 2011,1,regular,,149,e768c957-3a1f-42f5-853a-96942f645df5
Lightning Bolt,M11,Magic 2011,1,regular,,149,e768c957-3a1f-42f5-853a-96942f645df5
Mardu Outrider,MB2,Mystery Booster 2,1,regular,,1,3d78478d-5bdb-4c29-aa3a-9de18a5fcd52
Viscera Seer,SLD,Secret Lair Drop,1,foil,,VS,dba1cf83-e13d-401e-b76f-b12a51b307f9
"Isperia, Supreme Judge",GK2,RNA Guild Kit,1,foil,,1,ff875d47-b46e-481e-8fba-cc90870483e0
Ral's Vanguard,CMB1,Mystery Booster Playtest Cards 2019,1,regular,,1,c2cb33ac-30d3-4f89-957f-9caea3cb4f16
Demonic Tutor,PLST,The List,1,regular,,DDC-49,77be13ed-5ef5-4452-a16f-ccd3599d8555
Orcish Bowmasters,LTR,The Lord of the Rings: Tales of Middle-earth,1,regular,,433,de2de055-5246-408b-80fe-cd01688c145e
Brazen Borrower,ELD,Throne of Eldraine,1,regular,,39,c2089ec9-0665-448f-bfe9-d181de127814
Fire // Ice,APC,Apocalypse,1,regular,,128,f98f4538-5b5b-475d-b98f-49d01dae6f04
